var	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
v829_22	1.19678317758493	1.1630553098951	0.304741699037856	0.00109798444303444	0.521798286560102	v829	place were last aids test was taken
v829_23	-13.0699315266961	0.726013592863165	1.759965e-43	3.26078792294848e-4	6.17263086956522e-43	v829	place were last aids test was taken
v829_24	-14.066878970223	0.74414166847818	3.900381e-46	8.0083461167757e-4	1.43739929238579e-45	v829	place were last aids test was taken
v829_25	-14.0247176654631	0.532127931171447	1.656866e-66	0.00121020861710874	9.90028572839506e-66	v829	place were last aids test was taken
v829_96	-1.1406680329604	1.16174774715129	0.327375484509868	9.63611077604565e-4	0.552731631986428	v829	place were last aids test was taken
v829_99	-10.5216699138986	1.05299805282048	2.803506e-19	2.38729460907416e-5	7.63731840900563e-19	v829	place were last aids test was taken
v833a_0	-0.743958894847826	0.863887294093727	0.390137611709815	0.0018135387162278	0.605213474575482	v833a	used condom every time had sex with last sex partner (last 1
v833a_1	0.789242311347028	0.863820594937501	0.361956066481058	0.00205526301442216	0.582138705521493	v833a	used condom every time had sex with last sex partner (last 1
v833a_9	-13.7684452258645	0.639287302276889	9.328786e-55	3.69910524654626e-4	3.88120265673352e-54	v833a	used condom every time had sex with last sex partner (last 1
v837_0	-0.422427226047668	0.566697367613165	0.456753723729037	3.40684806128921e-4	0.670582817850922	v837	heard of drugs to help infected people to live longer
v837_1	0.275237655856813	0.424405374962338	0.517270433144916	1.96980634739607e-4	0.721495359199249	v837	heard of drugs to help infected people to live longer
v837_8	0.15485260932141	0.522200036156192	0.767077197496249	2.19936653651498e-5	0.878610207142197	v837	heard of drugs to help infected people to live longer
v837_9	-11.6307833896188	0.615897496245265	3.173223e-49	5.22893921103273e-5	1.199874946875e-48	v837	heard of drugs to help infected people to live longer
sreg_1	-0.57529042742852	0.47194674512021	0.224061157609048	0.00118560025444214	0.41362201088267597	sreg	region
sreg_2	0.0515333552046323	0.382565272963933	0.892959173707096	8.0939922256773e-6	0.942702697637722	sreg	region
sreg_3	0.13372651481154	0.319275875262572	0.675708503086316	6.23927870972985e-5	0.824198732390207	sreg	region
sreg_4	0.530937513647655	0.321376334763896	0.0998381095136893	8.47769498289686e-4	0.216043122226344	sreg	region
svilles_0	0.222414879966407	0.313292253474958	0.478443890678502	1.9749956665438e-4	0.689187033001181	svilles	eleven cities
svilles_1	-0.222414879966406	0.313292253474959	0.478443890678506	1.9749956665438e-4	0.689187033001181	svilles	eleven cities
surbrur_1	-0.218617309190897	0.316490003457931	0.490392135497581	2.01883591498531e-4	0.698087628178909	surbrur	urban/semi-urban/rural
