nodes.male,keep
shtrans_1,0
hv253c_1,0
sh123a_1,1
sh23_1,0
sh23_01_1,0
hb33_1_6,0
hv807y,0
hiv06_1,0
sh118b_1,0
sh110p_1,0
sh110q_1,0
sh118a_1,0
sh25f_1,0
hb65_1,0
hv227_0,1
sh110r_1,0
sh16_1,0
sh16_01_1,0
hv237h_1,0
sh125a_1,0
sh111i_1,0
sh111j_1,0
sh110c_1,0
sh121h_1,0
sh121i_1,0
sh121j_1,0
sh121k_1,0
sh118g_1,0
sh123c_1,0
sheligm_1,0
sh201_1,0
sh106a_1,0
sh21_01_1,0
hv253z_1,0
v750_1,0
hv253b_0,0
hv253b_8,0
sh26a_1,1
sh26ba_1,0
sh26bb_1,0
sh26bc_1,0
sh26bd_1,0
sh26be_1,0
sh26bx_1,0
sh26bz_1,0
sm49f_1,0
sh28a_1,1
sm49d_2,0
shm32,0
shm32_01,0
shm33_3,0
shm50_2,0
hv213_31,0
hv215_33,0
sh105g_1,0
sh105h_1,0
sh105i_1,0
sh105j_1,0
sh105k_1,0
sh105l_1,0
sh105m_1,0
sh108_d_1,0
hb63_4,0
sh136ba_1,0
sh136bb_1,0
sh136bc_1,0
sh136bd_1,0
sh136be_1,0
sh136bf_1,0
sh136bg_1,0
sh136bx_1,0
sh136bz_1,0
hv025_1,1
shvilles_1,0
sh104f_1,0
shelig_2,0
sh41e_0,0
sh26_1,0
sh27e_8,0
sh27f_8,0
sh27x_8,0
sh31b_1,1
sh31e_1,0
sh31h_1,0
sh31i_1,0
sh31j_1,0
sh31k_1,0
sh31l_1,0
sh39a_1,0
sh39b_1,0
sh39d_1,0
sh41c_1,0
sh41f_9,0
sh42_1,0
sh44_1,0
sh46_1,0
sh48k_1,0
spathfin_1,0
spackard_1,0
susaid1_1,0
susaid2_1,0
shlangt_1,0
shpepfar_1,0
shhapn_1,0
shpmi_1,0
shunfpa_1,0
sh11a_01_1,0
hv215_32,0
hv253c_0,0
hv253c_8,0
sh110u_1,0
sh110v_1,0
sh110w_1,0
sh110x_1,0
sh110y_1,0
sh110z_1,0
sh118e_1,0
shslum_1,0
sh25d_1,0
sh28e_1,0
