nodes.male,keep
ha13_1_3,0
ha13_2_3,0
ha55_2_0,0
ha56_3,0
hv122_08_9,0
hb65_02_1,0
v004,0
hml1a,0
v535_1,0
v754bp_1,0
hv237e_0,0
hv237e_8,1
hv237f_8,0
hv237x_8,0
v150_7,0
v762ar_1,0
v762bc_1,0
v846_1,0
hml17_11_1,0
v762az_3,0
v762bz_3,0
v770x_1,0
hb65_3_1,0
v133,0
hv106_07_9,0
v762al_9,0
v784p_9,0
v767a_1,0
v762ad_9,0
v762ae_9,0
v762am_9,0
hml6_1_8,0
hc55_1_0,0
hc68_1_2,0
v474a_1,0
hv125_02_0,0
hml7_1_13,1
mv463z_0,0
mv023_19,0
hv123_04,0
hv128_02,0
hv128_03,0
hv128_04,0
v150_98,0
v304_04_1,0
v313_1,0
mv532_6,0
sh15a_03_1,0
sh15a_04_1,0
sh15a_05_1,0
sh15a_06_1,0
sh15a_07_1,0
hv129_09_0,0
hv121_01_1,0
hv121_02_1,0
hv122_01_2,0
hv125_11_1,0
hv126_11_0,0
hc15_01_2,0
hc15_02_2,0
hb70,0
hv101_01_2,0
hmla,0
ha13_03_3,0
ha57_01_9,1
ha57_02_9,0
hc11_02,0
hc70_02,1
hv237b_9,0
hv237d_9,0
hv237f_9,0
hv237x_9,0
hv237z_9,0
mv106_1,1
hb66_2,0
hml17_2,0
hb68_1,0
hml10_0,0
v481b_9,0
v481c_9,0
v481d_9,0
v481x_9,0
v762bk_9,0
v762bs_9,0
v762bz_9,0
v784m_9,0
mv3b25a_1,0
hv113_08_9,0
hv116_08_0,0
hv122_07_9,0
sh19a_07_2,0
ha61_03_3,0
hml18_02_0,0
ha63_02_2,0
ha63_03_1,0
hb50_03_2,0
hb63_01_1,0
hb68_01_1,0
hml10_3_0,0
hml12_11_1,0
hml20_11_0,0
hml20_11_1,0
hml19_12_0,0
hml32_04_1,0
ha55_1_0,0
hc63_1,0
hc64_1,1
hc63_2,0
hc64_2,1
v150_100,0
ha63_1_2,1
ha61_2_1,0
hb65_03_1,0
v151_1,0
v150_15,0
sinterp_1,0
v501_3,0
v762bn_1,0
v762bt_1,0
v784s_1,1
v784t_1,0
sh17a_02_0,0
sh17a_06_2,0
ha61_2_3,0
v845_1,0
hb56_1,0
hb56_2,0
hml6_1_6,0
v770b_1,0
v770k_1,0
v770m_1,0
mv307_07_1,0
hb61_1_3,0
v762ar_9,0
v784g_9,0
v784q_9,0
v784j_1,0
v150_105,0
v744e_1,0
mv634a_1,0
v604_9,0
v762ac_9,0
hv122_08_1,0
hc62_1,0
v784j_9,0
hv128,0
hc13_1_3,0
hc13_2_3,0
hc68_1_3,0
hc68_2_3,0
v307_01_1,0
v307_03_1,0
v312_3,0
v474z_1,0
v754cp_1,0
v754dp_1,0
v756_1,0
v024_14,0
mv023_20,0
mv307_13_1,0
hml18_01_0,0
hb68_3_3,1
hml8_2_0,0
hc17_03,0
hv031,0
hv125_9,0
hc18_03,0
hv128_11,0
hc31_03,0
hc32_03,0
sh15a_1,0
v602_4,0
v307_08_1,0
v785y_1,0
v785z_1,0
v786a_1,0
v786b_1,0
v786c_1,0
v786d_1,0
v786e_1,0
v786f_1,0
v786g_1,0
v786h_1,0
v786i_1,0
v786j_1,0
v786k_1,0
v786l_1,0
v786x_1,0
v786y_1,0
v786z_1,0
sh03_02_2,0
sh03_02_3,0
sh03_02_5,0
sh03_03_2,0
sh03_03_3,0
sh03_03_4,0
sh03_03_5,0
sh03_04_2,0
sh03_04_3,0
sh03_04_4,0
sh03_04_5,0
sh03_05_3,0
sh03_05_4,0
sh03_05_5,0
sh03_06_3,0
sh03_06_4,0
sh03_06_5,0
sh03_07_2,0
sh03_07_3,0
sh03_07_4,0
sh03_07_5,0
sh03_08_3,0
sh03_08_4,0
sh03_08_5,0
hv102_13_1,0
hv103_13_1,0
hv104_13_2,0
sh15a_01_1,0
sh15a_02_1,0
sh15a_05_0,0
hv109_13_0,0
hv109_13_3,0
hv110_01_1,0
hv110_10_1,0
hv111_12_1,0
hv113_12_1,0
hv117_13_1,0
hv118_13_1,0
hml17_12_1,0
hml18_06_1,0
hc27_03_2,0
hc55_01_4,0
ha53_01,0
ha13_01_3,0
ha53_02,0
ha13_02_3,0
ha11_02,0
