nodes.female,keep
v802,0
v024_10,0
v024_1,0
v024_2,0
v024_3,0
v024_4,0
v024_5,1
v024_6,1
v024_7,1
v024_9,0
v025_1,0
v025_2,0
hv045b_1,0
v190_1,0
v190_2,0
v190_3,0
v190_4,0
v190_5,0
s121g_0,0
s121g_1,0
s121h_0,0
s121h_1,0
s121i_0,0
s121i_1,0
s121j_0,0
s121k_0,0
s121l_0,0
s121l_1,0
s121m_0,0
s121m_1,0
s121n_0,0
s121n_1,0
s121o_1,0
s121p_1,0
s121q_0,0
s121q_1,0
s121r_0,0
v135_2,0
s121g_7,0
s121h_7,0
s121i_7,0
s121j_7,0
s121k_7,0
s121l_7,0
s121m_7,0
s121n_7,0
s121o_7,0
s121p_7,0
s121q_7,0
s121r_7,0
v135_1,0
v014_4,0
hml17_01_6,0
ha55_6,0
ha56_1,0
ha13_1_6,0
ha55_1_6,0
hv237f_0,0
ha50_01_7,0
ha54_01_7,0
ha61_01_7,0
ha63_01_7,0
ha68_2,0
ha68_01_3,0
slage_1,0
ssypw_1,0
hv206_9,0
hv210_9,0
hv237_9,0
sh101_99,0
sh111i_9,0
sh528_1_1,0
ha63_1_2,0
v806,0
v418,0
v141_0,0
v141_1,0
v141_3,0
v141_2,0
v141_7,0
v361_4,1
v313_2,1
v625_0,0
v625_3,0
ha52_01_3,0
ha61_01_2,0
v136,0
v420,0
v191a,0
v418a,0
v022_1,0
v023_1,1
v022_2,0
v023_2,1
v022_3,0
v023_3,1
v022_4,0
v023_4,1
v022_5,0
v023_5,1
v022_6,0
v023_6,1
v022_7,0
v023_7,1
v022_9,0
v023_9,1
v022_10,0
v023_10,1
v022_11,0
v023_11,1
v022_12,0
v023_12,1
v022_13,0
v023_13,1
v022_14,0
v023_14,1
v022_15,0
v023_15,1
v022_16,0
v023_16,1
v022_17,0
v023_17,1
v022_18,0
v023_18,1
v022_19,0
v023_19,0
v113_14,0
v113_43,0
v113_62,0
v113_96,0
v116_11,0
v116_12,0
v116_13,0
v116_14,0
v116_21,0
v116_22,0
v116_23,0
v116_31,0
v116_42,0
v116_96,0
v119_0,0
v119_1,0
v120_0,0
v120_1,0
v121_0,0
v121_1,0
v122_0,0
v122_1,0
v123_0,0
v123_1,0
v124_1,0
v125_1,0
v127_11,0
v127_12,0
v127_21,0
v127_31,0
v127_33,0
v127_34,0
v127_35,0
v127_96,0
v128_11,0
v128_12,0
v128_13,0
v128_21,0
v128_22,0
v128_23,0
v128_24,0
v128_31,0
v128_32,0
v128_33,0
v128_34,0
v128_35,0
v128_96,0
v129_11,0
v129_12,0
v129_23,0
v129_24,0
v129_31,0
v129_32,0
v129_33,0
v129_34,0
v129_35,0
v129_36,0
v129_96,0
v153_1,0
v161_1,0
v161_2,0
v161_3,0
v161_4,0
v161_5,0
v161_6,0
v161_7,0
v161_9,0
v161_11,0
v161_95,0
v459_0,0
v459_1,0
v190a_1,0
v190a_2,0
v190a_3,0
v190a_4,0
v190a_5,0
v150_1,1
v150_2,1
v150_3,1
v150_4,1
v150_5,1
v150_6,1
v150_7,0
v150_9,1
v150_10,1
v150_11,1
v150_12,1
v113_97,0
v116_97,0
v119_7,0
v120_7,0
v121_7,0
v122_7,0
v123_7,0
v124_7,0
v125_7,0
v127_97,0
v128_97,0
v129_97,0
v153_7,0
v161_97,0
v106_1,0
v106_2,0
v106_3,0
v149_1,0
v149_2,0
v452c_3,0
v454_0,0
v454_1,0
v625a_1,0
v045b_1,0
v045b_2,1
v045b_3,1
v171b_0,0
v602_4,0
v605_6,0
v364_2,0
v625a_2,0
v463aa_0,0
s1110y_1,0
s1110y_0,0
s1110a_0,0
s1110a_1,0
s1110b_0,0
s1110b_1,0
s1110c_0,0
s1110c_1,0
s1110d_0,0
s1110d_1,0
v605_4,0
v605_5,0
v605_7,0
v625a_0,0
v625a_3,0
v626a_0,0
v626a_2,0
v626a_3,0
v626a_4,0
v626a_7,0
v731_2,1
v751_0,1
v751_1,0
sh03_1,0
sh03_2,0
sh03_3,0
sh03_4,0
sh03_5,0
ha55_9,0
ha55_1_0,0
sh14_0,0
ha68_01_2,0
ha56_01,0
hv237e_8,0
hv237f_8,0
hv237x_8,0
ha41_1,0
sh111h_1,0
sh111g_1,0
hv125_01_0,0
hv046_1,0
hv243e_1,0
hv215_31,1
sh104h_1,0
sh104i_1,0
sh110e_1,0
ha52_01_1,0
sh110d_1,0
hv253c_1,0
hv253z_1,0
sh23_01_1,0
ha13_6,0
ha52_3,0
sh16_1,0
sh16_01_1,0
sh125a_1,0
sh111i_1,0
sh111j_1,0
hv237d_0,1
hv237d_8,0
sh121h_1,0
sh121i_1,0
sh121j_1,0
sh121k_1,0
sh118g_1,0
sh123a_1,1
sh123c_1,0
hv115_1,0
sheligm_1,0
v301_3,0
v313_3,0
ha61_01_3,0
sh23_1,0
ha64_1_9,0
sh201_1,0
v018,0
v461_1,0
v044_1,0
v216_1,0
v304_01_1,0
v304_05_1,0
v304_14_1,0
v404_1,0
v405_1,0
v406_1,0
v452a_2,0
v750_1,0
hv225_1,0
sh118c_1,0
sh123dx_0,0
sh123da_1,0
sh123db_1,0
sh123dc_1,0
sh123dd_1,0
sh123de_1,0
sh123df_1,0
sh123dg_1,0
sh123dx_8,0
sh123dz_8,0
sh123dz_1,0
sh125b_1,0
sh127da_1,0
sh127db_1,0
sh127dc_1,0
sh127dd_1,0
sh127de_1,0
sh127df_1,0
sh140a_1,0
shcounci_0,0
sh123aa_1,0
sh123ac_1,0
sh123ad_1,0
sh123ae_1,0
sh119a_1,0
sh121e_1,0
sh140_1,1
hv120_1,0
sh10_01_1,0
sh107aa_1,0
sh107ab_1,0
sh107ea_1,0
hv215_32,0
sh104c_1,0
sh104j_1,0
sh104k_1,0
sh104l_1,0
sh104m_1,0
shsyph_1,0
sh108a_2,0
sh108b_1,0
sh108ca_1,0
sh108cb_1,0
sh108cc_1,0
sh108cd_1,0
sh108ce_1,0
sh108cf_1,0
sh108ch_1,0
sh108cx_1,0
sh111k_1,0
sh111l_1,0
sh111m_1,0
sh111n_1,0
sh111o_1,0
sh111p_1,0
sh111q_1,0
sh111r_1,0
sh111s_1,0
sh111t_1,0
sh111u_1,0
sh137a_1,0
sh137ba_1,0
sh137bb_1,0
sh137bc_1,0
sh137bd_1,0
shlangq_2,0
v302_3,0
slangq_2,0
slangint_2,0
sinterp_1,1
sh118h_1,0
hv201a_1,0
hv230a_2,0
sh121l_1,0
sh121m_1,0
sh121n_1,0
sh121o_1,0
sh121p_1,0
sh121q_1,0
sh121r_1,0
v169a_1,0
v170_1,0
