name,gender,beta,se,zval,pvalue,tau2,H2,k,I2,QE,QEp,mean_r2,num_surveys,category,var,var_lbl,lvl_lbl
m49z_1_9,f,-7.14353622035836,1.2339404937003042,-5.789206413784619,7.071974820389144e-9,28.2367843054092,80.35345808865172,19,98.75549848906722,1446.3622455957309,1.5838328399940394e-296,2.1001514663511825e-4,"(10,50]",NA,NA,NA,NA
m5_1,f,0.006626997745528147,0.0013929555345895937,4.757508463815149,1.9599704151264025e-6,1.4187052552442629e-5,1.582877949231202,23,36.82393513121486,34.82331488308644,0.04042332639679918,0.0019997421353660522,"(10,50]",NA,NA,NA,NA
m5_2,f,0.004725373132068205,0.002036744709609318,2.3200615716707134,0.020337546781968398,1.6993855430122284e-6,1.0259042689767388,16,2.5250181483869216,15.388564034651083,0.4238071793644394,0.0015805546178295766,"(10,50]",NA,NA,NA,NA
m5_2_99,f,-10.003292360153429,2.010826918410786,-4.9747157592555595,6.534344830573758e-7,15.717653485901684,53.144224568572525,4,98.11832798743787,159.43267370571758,2.429754168664861e-34,2.1768643182482042e-4,"(3,10]",NA,NA,NA,NA
m50_1_9,f,-7.845155872374386,1.2093386483418516,-6.487145584184411,8.747780317044372e-11,16.915731539884344,49.501694390289245,12,97.979867129162,544.5186382931817,1.0117117191172555e-109,1.3473937745922537e-4,"(10,50]",NA,NA,NA,NA
m50_2_9,f,-12.9974201122309,0.546079476073502,-23.80133420447659,3.235201410171386e-125,0,1,1,0,0,1,1.17735761880344e-4,"(0,1]",NA,NA,NA,NA
m51_1,f,5.421820433138095e-4,7.479926011784667e-4,0.7248494737242033,0.4685443806712412,1.0062201625371966e-6,1.2833159932330689,9,22.076869198778432,10.266527945864551,0.246815276760454,9.731579089933153e-4,"(3,10]",NA,NA,NA,NA
m51a_1,f,-0.00432686895155476,0.00213101590641424,-2.0304254597683307,0.04231331090644095,1.1891267951097635e-5,3.5120187773107743,5,71.5263481374174,14.048075109243095,0.007143190000064423,0.006183338784675629,"(3,10]",NA,NA,NA,NA
m52_1_99,f,-5.264086894323442,3.5010243253732813,-1.5035847812231873,0.132688312138845,48.360405507384115,96.97906024549624,4,98.96884956662956,290.93718073648876,9.101620212299905e-63,1.569824993354618e-4,"(3,10]",NA,NA,NA,NA
m54_1_9,f,-8.416662766926304,0.8814372599580669,-9.548793940622291,1.3121488025327689e-21,12.660278583492607,45.37561747233336,17,97.79617324081656,726.0098795573338,3.752732598975473e-144,3.2110471821657764e-4,"(10,50]",NA,NA,NA,NA
m55a_1_9,f,-8.678362244092517,0.865975590832764,-10.02148598177806,1.2264490897013673e-23,12.29540277158567,56.54487788508467,17,98.23149321847987,904.7180461613547,2.726983105027183e-182,3.2414025038417314e-4,"(10,50]",NA,NA,NA,NA
m55b_1_9,f,-8.678362244092517,0.865975590832764,-10.02148598177806,1.2264490897013673e-23,12.29540277158567,56.54487788508467,17,98.23149321847987,904.7180461613547,2.726983105027183e-182,3.2414025038417314e-4,"(10,50]",NA,NA,NA,NA
m55c_1_9,f,-8.678362244092517,0.865975590832764,-10.02148598177806,1.2264490897013673e-23,12.29540277158567,56.54487788508467,17,98.23149321847987,904.7180461613547,2.726983105027183e-182,3.2414025038417314e-4,"(10,50]",NA,NA,NA,NA
m55d_1_9,f,-8.678362244092517,0.865975590832764,-10.02148598177806,1.2264490897013673e-23,12.29540277158567,56.54487788508467,17,98.23149321847987,904.7180461613547,2.726983105027183e-182,3.2414025038417314e-4,"(10,50]",NA,NA,NA,NA
m55e_1_9,f,-8.399866175286272,0.9384015819885283,-8.951248949822165,3.5148269716425796e-19,13.615086014102811,59.8219189575347,16,98.32837191212494,897.3287843630205,1.3158649670255577e-181,3.2736397906473624e-4,"(10,50]",NA,NA,NA,NA
m55e_19,f,-12.792783469582,0.369079026151186,-34.66136670779468,3.0115675779479482e-263,0,1,1,0,0,1,2.72560591495163e-4,"(0,1]",NA,NA,NA,NA
m55f_1_9,f,-8.136577244654417,0.9962675431349799,-8.167060445481187,3.159945917787509e-16,14.401894321798952,64.04682691551997,15,98.4386423993822,896.6555768172796,2.2479934446640055e-182,3.4138039717448445e-4,"(10,50]",NA,NA,NA,NA
m55f_19,f,-12.605852887582804,0.3071297924813162,-41.04405758145284,0,0,1,2,0,0.8341496033926674,0.36107536589394906,1.94839149456838e-4,"(1,3]",NA,NA,NA,NA
m55g_1_9,f,-8.678362244092517,0.865975590832764,-10.02148598177806,1.2264490897013673e-23,12.29540277158567,56.54487788508467,17,98.23149321847987,904.7180461613547,2.726983105027183e-182,3.2414025038417314e-4,"(10,50]",NA,NA,NA,NA
m55h_1_9,f,-8.678362244092517,0.865975590832764,-10.02148598177806,1.2264490897013673e-23,12.29540277158567,56.54487788508467,17,98.23149321847987,904.7180461613547,2.726983105027183e-182,3.2414025038417314e-4,"(10,50]",NA,NA,NA,NA
m55i_1_9,f,-7.4192383394920824,1.2465087141370463,-5.952014819750695,2.6486138349711383e-9,19.655465372410067,69.9282691112603,13,98.56996317410783,839.1392293351237,6.656783955564296e-172,3.119849245331382e-4,"(10,50]",NA,NA,NA,NA
